batch value control marker flagged_batch batch_effect cols type
PTLG027 1.4436495304107666 Unstim_Control_2 CD7 none 0 #AEAEAE EMD
PTLG028 0.5847499966621399 IFNa_LPS_Control_1 CD7 none 0 #AEAEAE EMD
PTLG028 0.7970499396324158 IFNa_LPS_Control_2 CD7 none 0 #AEAEAE EMD
PTLG028 0.7091495990753174 Unstim_Control_1 CD7 none 0 #AEAEAE EMD
PTLG028 0.6854000091552734 Unstim_Control_2 CD7 none 0 #AEAEAE EMD
PTLG030 0.9311489462852478 IFNa_LPS_Control_1 CD7 none 0 #AEAEAE EMD
PTLG030 0.7970499396324158 IFNa_LPS_Control_2 CD7 none 0 #AEAEAE EMD
PTLG030 0.61605072021484375 Unstim_Control_1 CD7 none 0 #AEAEAE EMD
PTLG030 0.5823502540588379 Unstim_Control_2 CD7 none 0 #AEAEAE EMD
PTLG031 0.8163007497787476 IFNa_LPS_Control_1 CD7 none 0 #AEAEAE EMD
PTLG031 0.7923001050949097 IFNa_LPS_Control_2 CD7 none 0 #AEAEAE EMD
PTLG031 0.6658502817153931 Unstim_Control_1 CD7 none 0 #AEAEAE EMD
PTLG031 0.7310998439788818 Unstim_Control_2 CD7 none 0 #AEAEAE EMD
PTLG032 0.7191500067710876 IFNa_LPS_Control_1 CD7 none 0 #AEAEAE EMD
PTLG032 1.5758498907089233 IFNa_LPS_Control_2 CD7 none 0 #AEAEAE EMD
PTLG032 0.8893999457359314 Unstim_Control_1 CD7 none 0 #AEAEAE EMD
PTLG032 0.6854000091552734 Unstim_Control_2 CD7 none 0 #AEAEAE EMD
PTLG033 1.0334501266479492 IFNa_LPS_Control_1 CD7 none 0 #AEAEAE EMD
PTLG033 1.0155993700027466 IFNa_LPS_Control_2 CD7 none 0 #AEAEAE EMD
PTLG033 0.9454501867294312 Unstim_Control_1 CD7 none 0 #AEAEAE EMD
PTLG033 0.9484003186225891 Unstim_Control_2 CD7 none 0 #AEAEAE EMD
PTLG034 0.8099499344825745 IFNa_LPS_Control_1 CD7 none 0 #AEAEAE EMD
PTLG034 1.5024501085281372 IFNa_LPS_Control_2 CD7 none 0 #AEAEAE EMD
PTLG034 1.2122496366500854 Unstim_Control_1 CD7 none 0 #AEAEAE EMD
PTLG034 1.2126506567001343 Unstim_Control_2 CD7 none 0 #AEAEAE EMD
PTLG021 0.7462999820709229 IFNa_LPS_Control_1 CD19 none 0 #AEAEAE EMD
PTLG021 1.4549000263214111 IFNa_LPS_Control_2 CD19 none 0 #AEAEAE EMD
PTLG021 1.8249000310897827 Unstim_Control_1 CD19 none 0 #AEAEAE EMD
PTLG021 6.259300231933594 Unstim_Control_2 CD19 PTLG021 1 #8E000C EMD
PTLG025 0.8997500538825989 IFNa_LPS_Control_1 CD19 none 0 #AEAEAE EMD
PTLG025 1.5384501218795776 IFNa_LPS_Control_2 CD19 none 0 #AEAEAE EMD
PTLG025 1.9745500087738037 Unstim_Control_1 CD19 none 0 #AEAEAE EMD
PTLG025 4.125949859619141 Unstim_Control_2 CD19 PTLG025 1 #8E000C EMD
PTLG026 1.4654000997543335 IFNa_LPS_Control_1 CD19 none 0 #AEAEAE EMD
PTLG026 1.5384501218795776 IFNa_LPS_Control_2 CD19 none 0 #AEAEAE EMD
